subject_id	subject_label	predicate_id	object_id	object_label	mapping_justification
wos:RY	Nuclear Science & Technology	skos:broadMatch	oecd:31049147	Mechanical engineering	semapv:ManualMappingCuration
wos:RZ	Nursing	skos:exactMatch	oecd:31050535	Nursing	semapv:ManualMappingCuration
wos:SA	Nutrition & Dietetics	skos:exactMatch	oecd:31050536	Nutrition, Dietetics	semapv:ManualMappingCuration
wos:SD	Obstetrics & Gynecology	skos:broadMatch	oecd:31050382	Obstetrics and gynaecology	semapv:ManualMappingCuration
wos:SI	Oceanography	skos:exactMatch	oecd:31048680	Oceanography	semapv:ManualMappingCuration
wos:DM	Oncology	skos:exactMatch	oecd:31050470	Oncology	semapv:ManualMappingCuration
wos:PE	Operations Research & Management Science	skos:broadMatch	oecd:31050945	Economics and Business	semapv:ManualMappingCuration
wos:SU	Ophthalmology	skos:exactMatch	oecd:31050475	Ophthalmology	semapv:ManualMappingCuration
wos:SY	Optics	skos:broadMatch	oecd:31048479	Optics (including laser optics and quantum optics)	semapv:ManualMappingCuration
wos:TA	Ornithology	skos:broadMatch	oecd:31048930	Zoology, Ornithology, Entomology, Behavioural sciences biology	semapv:ManualMappingCuration
wos:TC	Orthopedics	skos:broadMatch	oecd:31050416	Orthopaedics	semapv:ManualMappingCuration
wos:TD	Otorhinolaryngology	skos:exactMatch	oecd:31050476	Otorhinolaryngology	semapv:ManualMappingCuration
wos:TE	Paleontology	skos:broadMatch	oecd:31048653	Palaeontology	semapv:ManualMappingCuration
wos:TI	Parasitology	skos:exactMatch	oecd:31048806	Parasitology	semapv:ManualMappingCuration
wos:TM	Pathology	skos:exactMatch	oecd:31050376	Pathology	semapv:ManualMappingCuration
wos:TQ	Pediatrics	skos:broadMatch	oecd:31050385	Paediatrics	semapv:ManualMappingCuration
wos:ZD	Peripheral Vascular Disease	skos:exactMatch	oecd:31050409	Peripheral vascular disease	semapv:ManualMappingCuration
wos:TU	Pharmacology & Pharmacy	skos:exactMatch	oecd:31050342	Pharmacology and pharmacy	semapv:ManualMappingCuration
wos:UA	Philosophy	skos:broadMatch	oecd:31051182	Philosophy, History and philosophy of science and technology	semapv:ManualMappingCuration
wos:UK	Physics, Condensed Matter	skos:broadMatch	oecd:31048442	Condensed matter physics (including formerly solid state physics, superconductivity)	semapv:ManualMappingCuration
wos:UI	Physics, Multidisciplinary	skos:broadMatch	oecd:31048432	Physical sciences	semapv:ManualMappingCuration
wos:UB	Physics, Applied	skos:broadMatch	oecd:31048432	Physical sciences	semapv:ManualMappingCuration
