subject_id	subject_label	predicate_id	object_id	object_label	mapping_justification
wos:KM	Genetics & Heredity	skos:exactMatch	oecd:31048863	Genetics and heredity	semapv:ManualMappingCuration
wos:GC	Geochemistry & Geophysics	skos:exactMatch	oecd:31048658	Geochemistry and geophysics	semapv:ManualMappingCuration
wos:KU	Geography	skos:broadMatch	oecd:31048641	Earth and related Environmental sciences	semapv:ManualMappingCuration
wos:KV	Geography, Physical	skos:exactMatch	oecd:31048662	Physical geography	semapv:ManualMappingCuration
wos:KY	Geology	skos:exactMatch	oecd:31048664	Geology	semapv:ManualMappingCuration
wos:LE	Geosciences, Multidisciplinary	skos:exactMatch	oecd:31048642	Geosciences, multidisciplinary	semapv:ManualMappingCuration
wos:LI	Geriatrics & Gerontology	skos:exactMatch	oecd:31050487	Geriatrics and gerontology	semapv:ManualMappingCuration
wos:LJ	Gerontology	skos:broadMatch	oecd:31050487	Geriatrics and gerontology	semapv:ManualMappingCuration
wos:HL	Health Care Sciences & Services	skos:broadMatch	oecd:31050511	Health care sciences and services (including hospital administration, health care financing)	semapv:ManualMappingCuration
wos:LQ	Health Policy & Services	skos:exactMatch	oecd:31050531	Health policy and services	semapv:ManualMappingCuration
wos:MA	Hematology	skos:exactMatch	oecd:31050410	Hematology	semapv:ManualMappingCuration
wos:MM	History	skos:exactMatch	oecd:31051121	History	semapv:ManualMappingCuration
wos:MQ	History & Philosophy of Science	skos:broadMatch	oecd:31051135	History of science and technology	semapv:ManualMappingCuration
wos:MR	History of Social Sciences	skos:broadMatch	oecd:31051120	History and Archaeology	semapv:ManualMappingCuration
wos:MU	Horticulture	skos:broadMatch	oecd:31050779	Horticulture, viticulture	semapv:ManualMappingCuration
