WoS_Code,WoS_Description,fos_code
QC,"LITERATURE, ROMANCE",6.02
QD,"LITERATURE, SLAVIC",6.02
QL,LOGIC,1.01
QL,LOGIC,1.02
PC,MANAGEMENT,5.02
PI,MARINE & FRESHWATER BIOLOGY,1.06
QE,"MATERIALS SCIENCE, BIOMATERIALS",2.09
PK,"MATERIALS SCIENCE, CERAMICS",2.05
QF,"MATERIALS SCIENCE, CHARACTERIZATION & TESTING",2.05
QG,"MATERIALS SCIENCE, COATINGS & FILMS",2.05
QH,"MATERIALS SCIENCE, COMPOSITES",2.05
PM,"MATERIALS SCIENCE, MULTIDISCIPLINARY",2.05
PJ,"MATERIALS SCIENCE, PAPER & WOOD",2.05
QJ,"MATERIALS SCIENCE, TEXTILES",2.05
MC,MATHEMATICAL & COMPUTATIONAL BIOLOGY,1.06
PQ,MATHEMATICS,1.01
PN,"MATHEMATICS, APPLIED",1.01
PO,"MATHEMATICS, INTERDISCIPLINARY APPLICATIONS",1.01
PU,MECHANICS,2.03
OO,MEDICAL ETHICS,3.03
PT,MEDICAL INFORMATICS,3.03
PW,MEDICAL LABORATORY TECHNOLOGY,2.06
PY,"MEDICINE, GENERAL & INTERNAL",3.02
OP,"MEDICINE, LEGAL",3.03
QA,"MEDICINE, RESEARCH & EXPERIMENTAL",3.01
QK,MEDIEVAL & RENAISSANCE STUDIES,6.01
PZ,METALLURGY & METALLURGICAL ENGINEERING,2.05
QQ,METEOROLOGY & ATMOSPHERIC SCIENCES,1.05
QU,MICROBIOLOGY,1.06
RA,MICROSCOPY,2.11
RE,MINERALOGY,1.05
ZQ,MINING & MINERAL PROCESSING,2.07
RO,MULTIDISCIPLINARY SCIENCES,1.07
RP,MUSIC,6.04
RQ,MYCOLOGY,1.06
NS,NANOSCIENCE & NANOTECHNOLOGY,2.1
RX,NEUROIMAGING,3.02
RU,NEUROSCIENCES,3.01
RY,NUCLEAR SCIENCE & TECHNOLOGY,2.03
RZ,NURSING,3.03
SA,NUTRITION & DIETETICS,3.03
SD,OBSTETRICS & GYNECOLOGY,3.02
SI,OCEANOGRAPHY,1.05
DM,ONCOLOGY,3.02
PE,OPERATIONS RESEARCH & MANAGEMENT SCIENCE,5.02
SU,OPHTHALMOLOGY,3.02
SY,OPTICS,1.03
TA,ORNITHOLOGY,1.06
TC,ORTHOPEDICS,3.02
TD,OTORHINOLARYNGOLOGY,3.02
TE,PALEONTOLOGY,1.05
TI,PARASITOLOGY,3.03
TM,PATHOLOGY,3.01
TQ,PEDIATRICS,3.02
ZD,PERIPHERAL VASCULAR DISEASE,3.02
TU,PHARMACOLOGY & PHARMACY,3.01
UA,PHILOSOPHY,6.03
UB,"PHYSICS, APPLIED",1.03
UH,"PHYSICS, ATOMIC, MOLECULAR & CHEMICAL",1.03
UK,"PHYSICS, CONDENSED MATTER",1.03
UF,"PHYSICS, FLUIDS & PLASMAS",1.03
UR,"PHYSICS, MATHEMATICAL",1.01
UI,"PHYSICS, MULTIDISCIPLINARY",1.03
UN,"PHYSICS, NUCLEAR",1.03
UP,"PHYSICS, PARTICLES & FIELDS",1.03
UM,PHYSIOLOGY,3.01
UQ,PLANNING & DEVELOPMENT,5.07
DE,PLANT SCIENCES,1.06
UT,POETRY,6.02
UU,POLITICAL SCIENCE,5.06
UY,POLYMER SCIENCE,1.04
ML,PRIMARY HEALTH CARE,3.03
VE,PSYCHIATRY,3.02
VI,PSYCHOLOGY,5.01
NQ,"PSYCHOLOGY, APPLIED",5.01
BV,"PSYCHOLOGY, BIOLOGICAL",5.01
EQ,"PSYCHOLOGY, CLINICAL",3.01
MY,"PSYCHOLOGY, DEVELOPMENTAL",5.01
HI,"PSYCHOLOGY, EDUCATIONAL",5.01
VX,"PSYCHOLOGY, EXPERIMENTAL",5.01
VS,"PSYCHOLOGY, MATHEMATICAL",5.01
VJ,"PSYCHOLOGY, MULTIDISCIPLINARY",5.01
VP,"PSYCHOLOGY, PSYCHOANALYSIS",3.03
WQ,"PSYCHOLOGY, SOCIAL",5.01
VM,PUBLIC ADMINISTRATION,5.06
NE,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH",3.03
VY,"RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING",3.02
WC,REHABILITATION,3.03
YI,RELIGION,6.03
SR,REMOTE SENSING,2.07
WF,REPRODUCTIVE BIOLOGY,1.06
WE,RESPIRATORY SYSTEM,3.02
WH,RHEUMATOLOGY,3.02
RB,ROBOTICS,2.02
WM,SOCIAL ISSUES,5.04
WV,"SOCIAL SCIENCES, BIOMEDICAL",3.03
WU,"SOCIAL SCIENCES, INTERDISCIPLINARY",5.09
PS,"SOCIAL SCIENCES, MATHEMATICAL METHODS",5.04
WY,SOCIAL WORK,5.04
XA,SOCIOLOGY,5.04
XE,SOIL SCIENCE,4.01
XQ,SPECTROSCOPY,2.11
XW,SPORT SCIENCES,3.03
XY,STATISTICS & PROBABILITY,1.01
GM,SUBSTANCE ABUSE,3.03
YA,SURGERY,3.02
YE,TELECOMMUNICATIONS,2.02
YG,THEATER,6.04
DT,THERMODYNAMICS,2.03
YO,TOXICOLOGY,3.01
YP,TRANSPLANTATION,3.02
YQ,TRANSPORTATION,5.07
YR,TRANSPORTATION SCIENCE & TECHNOLOGY,2.01
YU,TROPICAL MEDICINE,3.03
YY,URBAN STUDIES,5.07
ZA,UROLOGY & NEPHROLOGY,3.02
ZC,VETERINARY SCIENCES,4.03
ZE,VIROLOGY,1.06
ZR,WATER RESOURCES,1.05
ZK,WOMEN'S STUDIES,5.04
ZM,ZOOLOGY,1.06
