Tree Level,Tree Path,Id,Abbreviation,Description
1,(Root Code),31051383,Keywords,Keywords taxonomy used for EMPP expert profile
2,31048363,31048363,Science,Science
3,31048363.31048364,31048364,NATURAL SCIENCES,NATURAL SCIENCES
4,31048363.31048364.31048365,31048365,Mathematics,Mathematics
5,31048363.31048364.31048365.31048366,31048366,"Pure mathematics, Applied mathematics","Pure mathematics, Applied mathematics"
6,31048363.31048364.31048365.31048366.31048367,31048367,Logic and foundations,Logic and foundations
6,31048363.31048364.31048365.31048366.31048368,31048368,Algebra,Algebra
6,31048363.31048364.31048365.31048366.31048369,31048369,Number theory,Number theory
6,31048363.31048364.31048365.31048366.31048370,31048370,Algorithms and complexity,Algorithms and complexity
6,31048363.31048364.31048365.31048366.31048371,31048371,Algebraic and complex geometry,Algebraic and complex geometry
6,31048363.31048364.31048365.31048366.31048372,31048372,Geometry,Geometry
6,31048363.31048364.31048365.31048366.31048373,31048373,Topology,Topology
6,31048363.31048364.31048365.31048366.31048374,31048374,"Lie groups, Lie algebras","Lie groups, Lie algebras"
6,31048363.31048364.31048365.31048366.31048375,31048375,Analysis,Analysis
6,31048363.31048364.31048365.31048366.31048376,31048376,Operator algebras and functional analysis,Operator algebras and functional analysis
6,31048363.31048364.31048365.31048366.31048377,31048377,ODE and dynamical systems,ODE and dynamical systems
6,31048363.31048364.31048365.31048366.31048378,31048378,Theoretical aspects of partial differential equati,Theoretical aspects of partial differential equations
6,31048363.31048364.31048365.31048366.31048379,31048379,Mathematical physics,Mathematical physics
6,31048363.31048364.31048365.31048366.31048380,31048380,Discrete mathematics and combinatorics,Discrete mathematics and combinatorics
6,31048363.31048364.31048365.31048366.31048381,31048381,Mathematical aspects of computer science,Mathematical aspects of computer science
6,31048363.31048364.31048365.31048366.31048382,31048382,Numerical analysis,Numerical analysis
6,31048363.31048364.31048365.31048366.31048383,31048383,Scientific computing and data processing,Scientific computing and data processing
6,31048363.31048364.31048365.31048366.31048384,31048384,Numerical analysis and scientific computing,Numerical analysis and scientific computing
6,31048363.31048364.31048365.31048366.31048385,31048385,Control theory and optimization,Control theory and optimization
6,31048363.31048364.31048365.31048366.31048386,31048386,Application of mathematics in sciences,Application of mathematics in sciences
6,31048363.31048364.31048365.31048366.31048387,31048387,Application of mathematics in industry and society,Application of mathematics in industry and society
6,31048363.31048364.31048365.31048366.31048388,31048388,Signal processing,Signal processing
6,31048363.31048364.31048365.31048366.31048389,31048389,"Statistical physics: phase transitions, noise and","Statistical physics: phase transitions, noise and fluctuations, models of complex systems, etc."
6,31048363.31048364.31048365.31048366.31053755,31053755,Mathematics for High-Performance Computing,Mathematics for High-Performance Computing
5,31048363.31048364.31048365.31048390,31048390,Statistics and probability (This includes research,"Statistics and probability (This includes research on statistical methodologies, but excludes research on applied statistics which should be classified under the relevant field of application (e.g. Economics, Sociology, etc.)"
6,31048363.31048364.31048365.31048390.31048391,31048391,Probability,Probability
6,31048363.31048364.31048365.31048390.31048392,31048392,Statistics,Statistics
6,31048363.31048364.31048365.31048390.31048393,31048393,Probability and Statistics,Probability and Statistics
6,31048363.31048364.31048365.31048390.31053756,31053756,Global Systems Science,Global Systems Science
4,31048363.31048364.31048394,31048394,Computer and information sciences,Computer and information sciences
5,31048363.31048364.31048394.31048395,31048395,"Computer sciences, information science and bioinfo","Computer sciences, information science and bioinformatics"
6,31048363.31048364.31048394.31048395.31048406,31048406,"Software engineering, operating systems, computer","Software engineering, operating systems, computer languages"
7,31048363.31048364.31048394.31048395.31048406.31053757,31053757,High performance computing,High performance computing
7,31048363.31048364.31048394.31048395.31048406.31053772,31053772,Requirements Analysis,Requirements Analysis
7,31048363.31048364.31048394.31048395.31048406.31053773,31053773,Software Design & Development,Software Design & Development
7,31048363.31048364.31048394.31048395.31048406.31053774,31053774,Software Architectures,Software Architectures
7,31048363.31048364.31048394.31048395.31048406.31053775,31053775,Software notation & tools,Software notation & tools
7,31048363.31048364.31048394.31048395.31048406.31053776,31053776,Open Source Software,Open Source Software
7,31048363.31048364.31048394.31048395.31048406.31053777,31053777,System Software,System Software
7,31048363.31048364.31048394.31048395.31048406.31053778,31053778,Software quality Management,Software quality Management
7,31048363.31048364.31048394.31048395.31048406.31053779,31053779,Open hardware,Open hardware
7,31048363.31048364.31048394.31048395.31048406.31053780,31053780,Distributed Social Networks,Distributed Social Networks
6,31048363.31048364.31048394.31048395.31048407,31048407,"Theoretical computer science, formal methods, quan","Theoretical computer science, formal methods, quantum computing"
7,31048363.31048364.31048394.31048395.31048407.31053790,31053790,Very large data bases,Very large data bases
7,31048363.31048364.31048394.31048395.31048407.31053791,31053791,Data stream analysis,Data stream analysis
7,31048363.31048364.31048394.31048395.31048407.31053792,31053792,Scalability,Scalability
7,31048363.31048364.31048394.31048395.31048407.31053793,31053793,Real time data analytics,Real time data analytics
7,31048363.31048364.31048394.31048395.31048407.31053794,31053794,Linked (open) data,Linked (open) data
6,31048363.31048364.31048394.31048395.31048408,31048408,"Cryptology, security, privacy, quantum crypto","Cryptology, security, privacy, quantum crypto"
7,31048363.31048364.31048394.31048395.31048408.31051046,31051046,Privacy,Privacy
7,31048363.31048364.31048394.31048395.31048408.31053795,31053795,Cybersecurity,Cybersecurity
7,31048363.31048364.31048394.31048395.31048408.31053796,31053796,Trustworthy ICT,Trustworthy ICT
7,31048363.31048364.31048394.31048395.31048408.31053797,31053797,IT Security,IT Security
7,31048363.31048364.31048394.31048395.31048408.31053798,31053798,Trust,Trust
7,31048363.31048364.31048394.31048395.31048408.31053799,31053799,Network Security,Network Security
7,31048363.31048364.31048394.31048395.31048408.31053800,31053800,Information Security,Information Security
7,31048363.31048364.31048394.31048395.31048408.31053801,31053801,(user-centric) privacy preservation,(user-centric) privacy preservation
7,31048363.31048364.31048394.31048395.31048408.31053802,31053802,Anonymity,Anonymity
7,31048363.31048364.31048394.31048395.31048408.31053803,31053803,Digital identity,Digital identity
6,31048363.31048364.31048394.31048395.31048409,31048409,"Algorithms, distributed, parallel and network algo","Algorithms, distributed, parallel and network algorithms, algorithmic game theory"
7,31048363.31048364.31048394.31048395.31048409.31053757,31053757,High performance computing,High performance computing
6,31048363.31048364.31048394.31048395.31048410,31048410,"Artificial intelligence, intelligent systems, mult","Artificial intelligence, intelligent systems, multi agent systems"
6,31048363.31048364.31048394.31048395.31048411,31048411,"Computer graphics, computer vision, multi media, c","Computer graphics, computer vision, multi media, computer games"
7,31048363.31048364.31048394.31048395.31048411.31053804,31053804,Computer graphics,Computer graphics
7,31048363.31048364.31048394.31048395.31048411.31053805,31053805,Computer vision,Computer vision
7,31048363.31048364.31048394.31048395.31048411.31053806,31053806,Multi media,Multi media
7,31048363.31048364.31048394.31048395.31048411.31053807,31053807,Computer games,Computer games
6,31048363.31048364.31048394.31048395.31048412,31048412,"Numerical analysis, simulation, optimisation, mode","Numerical analysis, simulation, optimisation, modelling tools, data mining"
6,31048363.31048364.31048394.31048395.31048413,31048413,"Human computer interaction and interface, visualiz","Human computer interaction and interface, visualization and natural language processing"
7,31048363.31048364.31048394.31048395.31048413.31053808,31053808,Human computer interaction,Human computer interaction
7,31048363.31048364.31048394.31048395.31048413.31053809,31053809,Collaborative and social computing,Collaborative and social computing
7,31048363.31048364.31048394.31048395.31048413.31053810,31053810,Mobile devices,Mobile devices
7,31048363.31048364.31048394.31048395.31048413.31053811,31053811,Non mobile interactive devices,Non mobile interactive devices
7,31048363.31048364.31048394.31048395.31048413.31053812,31053812,Accessibility,Accessibility
7,31048363.31048364.31048394.31048395.31048413.31053813,31053813,Smart objects and interaction design,Smart objects and interaction design
7,31048363.31048364.31048394.31048395.31048413.31053814,31053814,Users and interactive retrieval,Users and interactive retrieval
7,31048363.31048364.31048394.31048395.31048413.31053815,31053815,Natural language processing,Natural language processing
7,31048363.31048364.31048394.31048395.31048413.31053816,31053816,Machine translation,Machine translation
7,31048363.31048364.31048394.31048395.31048413.31053817,31053817,Wearable technologies,Wearable technologies
6,31048363.31048364.31048394.31048395.31048414,31048414,"Web and information systems, database systems, inf","Web and information systems, database systems, information retrieval and digital libraries, data fusion"
7,31048363.31048364.31048394.31048395.31048414.31053818,31053818,Semantic web technologies,Semantic web technologies
7,31048363.31048364.31048394.31048395.31048414.31053819,31053819,Linked open data,Linked open data
7,31048363.31048364.31048394.31048395.31048414.31053820,31053820,Data visualization,Data visualization
7,31048363.31048364.31048394.31048395.31048414.31053821,31053821,Data curation,Data curation
7,31048363.31048364.31048394.31048395.31048414.31053822,31053822,Open data,Open data
6,31048363.31048364.31048394.31048395.31048415,31048415,"Machine learning, statistical data processing and","Machine learning, statistical data processing and applications using signal processing (e.g. speech, image, video)"
6,31048363.31048364.31048394.31048395.31048416,31048416,"Scientific computing, simulation and modelling too","Scientific computing, simulation and modelling tools"
6,31048363.31048364.31048394.31048395.31048417,31048417,"Bioinformatics, biocomputing, and DNA and molecula","Bioinformatics, biocomputing, and DNA and molecular computation"
6,31048363.31048364.31048394.31048395.31048418,31048418,Geo-information and spatial data analysis,Geo-information and spatial data analysis
6,31048363.31048364.31048394.31048395.31048419,31048419,Computational engineering and computer aided desig,Computational engineering and computer aided design
6,31048363.31048364.31048394.31048395.31048420,31048420,"Communication networks, media, information society","Communication networks, media, information society"
7,31048363.31048364.31048394.31048395.31048420.31049667,31049667,Radio Frequency / Microwave Communications,Radio Frequency / Microwave Communications
7,31048363.31048364.31048394.31048395.31048420.31049668,31049668,Network technologies / Internetworking,Network technologies / Internetworking
7,31048363.31048364.31048394.31048395.31048420.31049731,31049731,Optical Communications,Optical Communications
7,31048363.31048364.31048394.31048395.31048420.31053780,31053780,Distributed Social Networks,Distributed Social Networks
7,31048363.31048364.31048394.31048395.31048420.31053823,31053823,Internet architectures,Internet architectures
7,31048363.31048364.31048394.31048395.31048420.31053824,31053824,Internet of Things,Internet of Things
7,31048363.31048364.31048394.31048395.31048420.31053825,31053825,Mobile Sensor devices,Mobile Sensor devices
6,31048363.31048364.31048394.31048395.31048421,31048421,"Networks (communication networks, sensor networks,","Networks (communication networks, sensor networks, networks of robots, etc.)"
6,31048363.31048364.31048394.31048395.31048422,31048422,Simulation engineering and modelling,Simulation engineering and modelling
6,31048363.31048364.31048394.31048395.31048423,31048423,Computational engineering,Computational engineering
7,31048363.31048364.31048394.31048395.31048423.31053757,31053757,High performance computing,High performance computing
6,31048363.31048364.31048394.31048395.31048424,31048424,Clinical bioinformatics,Clinical bioinformatics
6,31048363.31048364.31048394.31048395.31048425,31048425,Translational bioinformatics,Translational bioinformatics
6,31048363.31048364.31048394.31048395.31048426,31048426,Neuroimaging and computational neuroscience,Neuroimaging and computational neuroscience
6,31048363.31048364.31048394.31048395.31048427,31048427,"Complexity and cryptography, electronic security,","Complexity and cryptography, electronic security, privacy, biometrics"
6,31048363.31048364.31048394.31048395.31048428,31048428,"E-learning, user modelling, collaborative systems","E-learning, user modelling, collaborative systems"
6,31048363.31048364.31048394.31048395.31048429,31048429,"Internet and semantic web, database systems and li","Internet and semantic web, database systems and libraries"
6,31048363.31048364.31048394.31048395.31048430,31048430,"Ontologies, neural networks, genetic programming,","Ontologies, neural networks, genetic programming, fuzzy logic"
6,31048363.31048364.31048394.31048395.31048431,31048431,Gender in computer sciences,Gender in computer sciences
6,31048363.31048364.31048394.31048395.31053758,31053758,Unconventional computing,Unconventional computing
6,31048363.31048364.31048394.31048395.31053759,31053759,Cyber-physical systems,Cyber-physical systems
7,31048363.31048364.31048394.31048395.31053759.31053760,31053760,Embedded systems,Embedded systems
7,31048363.31048364.31048394.31048395.31053759.31053761,31053761,Monitoring and control systems,Monitoring and control systems
7,31048363.31048364.31048394.31048395.31053759.31053762,31053762,Systems of systems,Systems of systems
7,31048363.31048364.31048394.31048395.31053759.31053763,31053763,Co-habited environments,Co-habited environments
6,31048363.31048364.31048394.31048395.31053764,31053764,Advanced computing,Advanced computing
7,31048363.31048364.31048394.31048395.31053764.31053757,31053757,High performance computing,High performance computing
7,31048363.31048364.31048394.31048395.31053764.31053765,31053765,Embedded computing,Embedded computing
7,31048363.31048364.31048394.31048395.31053764.31053766,31053766,"Computing for servers, data centres","Computing for servers, data centres"
6,31048363.31048364.31048394.31048395.31053767,31053767,Smart manufacturing,Smart manufacturing
7,31048363.31048364.31048394.31048395.31053767.31053768,31053768,Smart factories,Smart factories
7,31048363.31048364.31048394.31048395.31053767.31053769,31053769,Digital factories,Digital factories
7,31048363.31048364.31048394.31048395.31053767.31053770,31053770,Virtual factories,Virtual factories
7,31048363.31048364.31048394.31048395.31053767.31053771,31053771,Unconventional Manufacturing,Unconventional Manufacturing
6,31048363.31048364.31048394.31048395.31053781,31053781,Internet Services & Applications,Internet Services & Applications
7,31048363.31048364.31048394.31048395.31053781.31053782,31053782,Service Engineering,Service Engineering
7,31048363.31048364.31048394.31048395.31053781.31053783,31053783,Service oriented architectures,Service oriented architectures
6,31048363.31048364.31048394.31048395.31053784,31053784,Cloud computing,Cloud computing
7,31048363.31048364.31048394.31048395.31053784.31053785,31053785,Cloud Computing models,Cloud Computing models
7,31048363.31048364.31048394.31048395.31053784.31053786,31053786,Cloud trust & security,Cloud trust & security
7,31048363.31048364.31048394.31048395.31053784.31053787,31053787,Cloud Services,Cloud Services
7,31048363.31048364.31048394.31048395.31053784.31053788,31053788,Cloud Infrastructures,Cloud Infrastructures
7,31048363.31048364.31048394.31048395.31053784.31053789,31053789,Cloud Architectures,Cloud Architectures
6,31048363.31048364.31048394.31048395.31053826,31053826,Technology-enhanced learning,Technology-enhanced learning
6,31048363.31048364.31048394.31048395.31053827,31053827,"Digital games, gamification, applied games, seriou","Digital games, gamification, applied games, serious games"
6,31048363.31048364.31048394.31048395.31053828,31053828,"Interaction, Multimodal, Brain-Computer-Interfaces","Interaction, Multimodal, Brain-Computer-Interfaces, Assistive Technologies"
6,31048363.31048364.31048394.31048395.31053829,31053829,Experimentally-driven research and innovation,Experimentally-driven research and innovation
7,31048363.31048364.31048394.31048395.31053829.31053830,31053830,"FIRE, Future Internet Research and Experimentation","FIRE, Future Internet Research and Experimentation"
6,31048363.31048364.31048394.31048395.31053831,31053831,Collaborative Systems,Collaborative Systems
7,31048363.31048364.31048394.31048395.31053831.31051324,31051324,Crowdsourcing,Crowdsourcing
7,31048363.31048364.31048394.31048395.31053831.31053832,31053832,Collective Awareness Platforms,Collective Awareness Platforms
7,31048363.31048364.31048394.31048395.31053831.31053833,31053833,Knowledge co-creation networks,Knowledge co-creation networks
6,31048363.31048364.31048394.31048395.31073707,31073707,Digital services,Digital services
7,31048363.31048364.31048394.31048395.31073707.31053795,31053795,Cybersecurity,Cybersecurity
7,31048363.31048364.31048394.31048395.31073707.31053822,31053822,Open data,Open data
7,31048363.31048364.31048394.31048395.31073707.31073708,31073708,Automated translation,Automated translation
7,31048363.31048364.31048394.31048395.31073707.31073709,31073709,Big data,Big data
7,31048363.31048364.31048394.31048395.31073707.31073710,31073710,eHealth,eHealth
7,31048363.31048364.31048394.31048395.31073707.31073711,31073711,eInfrastructure,eInfrastructure
7,31048363.31048364.31048394.31048395.31073707.31073712,31073712,eDispensation,eDispensation
7,31048363.31048364.31048394.31048395.31073707.31073713,31073713,Electronic commerce (eCommerce),Electronic commerce (eCommerce)
7,31048363.31048364.31048394.31048395.31073707.31073714,31073714,Electronic delivery (eDelivery),Electronic delivery (eDelivery)
7,31048363.31048364.31048394.31048395.31073707.31073715,31073715,Electronic governance,Electronic governance
7,31048363.31048364.31048394.31048395.31073707.31073716,31073716,Electronic identification (eID) and authenticatio,Electronic identification  (eID) and authentication
7,31048363.31048364.31048394.31048395.31073707.31073717,31073717,Electronic invoicing (eInvoicing),Electronic invoicing (eInvoicing)
7,31048363.31048364.31048394.31048395.31073707.31073718,31073718,Electronic procurement (eProcurement),Electronic procurement (eProcurement)
7,31048363.31048364.31048394.31048395.31073707.31073719,31073719,Electronic services (eServices),Electronic services (eServices)
7,31048363.31048364.31048394.31048395.31073707.31073720,31073720,Electronic Signature (eSignature),Electronic Signature (eSignature)
7,31048363.31048364.31048394.31048395.31073707.31073721,31073721,ePrescription,ePrescription
7,31048363.31048364.31048394.31048395.31073707.31073722,31073722,eTendering,eTendering
7,31048363.31048364.31048394.31048395.31073707.31073723,31073723,Metadata,Metadata
7,31048363.31048364.31048394.31048395.31073707.31073724,31073724,Network infrastructures,Network infrastructures
7,31048363.31048364.31048394.31048395.31073707.31073725,31073725,Online dispute resolution (ODR),Online dispute resolution (ODR)
7,31048363.31048364.31048394.31048395.31073707.31073726,31073726,Pan-European proxy service (PEPS),Pan-European proxy service (PEPS)
7,31048363.31048364.31048394.31048395.31073707.31073727,31073727,Public sector information,Public sector information
7,31048363.31048364.31048394.31048395.31073707.31073728,31073728,Trust and connectivity services,Trust and connectivity services
4,31048363.31048364.31048432,31048432,Physical sciences,Physical sciences
5,31048363.31048364.31048432.31048433,31048433,"Atomic, molecular and chemical physics (physics of","Atomic, molecular and chemical physics (physics of atoms and molecules including collision, interaction with radiation magnetic resonances Moessbauer effect)"
6,31048363.31048364.31048432.31048433.31048434,31048434,"Atomic, molecular physics","Atomic, molecular physics"
6,31048363.31048364.31048432.31048433.31048435,31048435,Chemical physics,Chemical physics
6,31048363.31048364.31048432.31048433.31048436,31048436,Ultra-cold atoms and molecules,Ultra-cold atoms and molecules
6,31048363.31048364.31048432.31048433.31048437,31048437,Quantum optics and quantum information,Quantum optics and quantum information
6,31048363.31048364.31048432.31048433.31048438,31048438,Metrology and measurement,Metrology and measurement
6,31048363.31048364.31048432.31048433.31048439,31048439,Molecular electronics,Molecular electronics
6,31048363.31048364.31048432.31048433.31048440,31048440,Radiation and Nuclear chemistry,Radiation and Nuclear chemistry
6,31048363.31048364.31048432.31048433.31048441,31048441,Photochemistry,Photochemistry
5,31048363.31048364.31048432.31048442,31048442,Condensed matter physics (including formerly solid,"Condensed matter physics (including formerly solid state physics, superconductivity)"
6,31048363.31048364.31048432.31048442.31048439,31048439,Molecular electronics,Molecular electronics
6,31048363.31048364.31048432.31048442.31048443,31048443,Structure of solids and liquids,Structure of solids and liquids
6,31048363.31048364.31048432.31048442.31048444,31048444,Mechanical and acoustical properties of condensed,"Mechanical and acoustical properties of condensed matter, Lattice dynamics"
6,31048363.31048364.31048432.31048442.31048445,31048445,Transport properties of condensed matter,Transport properties of condensed matter
6,31048363.31048364.31048432.31048442.31048446,31048446,Thermal properties of condensed matter,Thermal properties of condensed matter
6,31048363.31048364.31048432.31048442.31048447,31048447,"Electronic properties of materials, surfaces, inte","Electronic properties of materials, surfaces, interfaces, nanostructures, etc."
6,31048363.31048364.31048432.31048442.31048448,31048448,Electronic properties of materials and transport,Electronic properties of materials and transport
6,31048363.31048364.31048432.31048442.31048449,31048449,Semiconductors,Semiconductors
6,31048363.31048364.31048432.31048442.31048450,31048450,"Semiconductors and insulators: material growth, ph","Semiconductors and insulators: material growth, physical properties"
6,31048363.31048364.31048432.31048442.31048451,31048451,Superconductivity,Superconductivity
6,31048363.31048364.31048432.31048442.31048452,31048452,Superfluids,Superfluids
6,31048363.31048364.31048432.31048442.31048453,31048453,"Macroscopic quantum phenomena: superconductivity,","Macroscopic quantum phenomena: superconductivity, superfluidity, etc."
6,31048363.31048364.31048432.31048442.31048454,31048454,Spintronics,Spintronics
6,31048363.31048364.31048432.31048442.31048455,31048455,Magnetism and strongly correlated systems,Magnetism and strongly correlated systems
6,31048363.31048364.31048432.31048442.31048456,31048456,Soft condensed matter,Soft condensed matter
6,31048363.31048364.31048432.31048442.31048457,31048457,"Condensed matter - beam interactions (photons, ele","Condensed matter - beam interactions (photons, electrons, etc.)"
6,31048363.31048364.31048432.31048442.31048458,31048458,"Nanophysics: nanoelectronics, nanophotonics, nanom","Nanophysics: nanoelectronics, nanophotonics, nanomagnetism, nanoelectromechanics, etc."
6,31048363.31048364.31048432.31048442.31048459,31048459,Mesoscopic physics,Mesoscopic physics
6,31048363.31048364.31048432.31048442.31048460,31048460,Structure and dynamics of disordered systems: soft,"Structure and dynamics of disordered systems: soft matter (gels, colloids, liquid crystals, etc.), glasses, defects, etc."
6,31048363.31048364.31048432.31048442.31048461,31048461,Thermodynamics,Thermodynamics
6,31048363.31048364.31048432.31048442.31048462,31048462,General physics,General physics
6,31048363.31048364.31048432.31048442.31048463,31048463,Statistical physics (condensed matter),Statistical physics (condensed matter)
6,31048363.31048364.31048432.31048442.31048464,31048464,"Phase transitions, phase equilibria","Phase transitions, phase equilibria"
6,31048363.31048364.31048432.31048442.31048465,31048465,Molecular architecture and structure,Molecular architecture and structure
5,31048363.31048364.31048432.31048466,31048466,Particles and fields physics,Particles and fields physics
6,31048363.31048364.31048432.31048466.31048467,31048467,Fundamental interactions and fields,Fundamental interactions and fields
6,31048363.31048364.31048432.31048466.31048468,31048468,Relativity,Relativity
6,31048363.31048364.31048432.31048466.31048469,31048469,Particle physics,Particle physics
6,31048363.31048364.31048432.31048466.31048470,31048470,Electromagnetism,Electromagnetism
6,31048363.31048364.31048432.31048466.31048471,31048471,Classical physics,Classical physics
5,31048363.31048364.31048432.31048472,31048472,Nuclear physics,Nuclear physics
6,31048363.31048364.31048432.31048472.31048472,31048472,Nuclear physics,Nuclear physics
6,31048363.31048364.31048432.31048472.31048473,31048473,Nuclear astrophysics,Nuclear astrophysics
5,31048363.31048364.31048432.31048474,31048474,Fluids and plasma physics (including surface physi,Fluids and plasma physics (including surface physics)
6,31048363.31048364.31048432.31048474.31048389,31048389,"Statistical physics: phase transitions, noise and","Statistical physics: phase transitions, noise and fluctuations, models of complex systems, etc."
6,31048363.31048364.31048432.31048474.31048461,31048461,Thermodynamics,Thermodynamics
6,31048363.31048364.31048432.31048474.31048470,31048470,Electromagnetism,Electromagnetism
6,31048363.31048364.31048432.31048474.31048475,31048475,Fluid dynamics (physics),Fluid dynamics (physics)
6,31048363.31048364.31048432.31048474.31048476,31048476,Statistical physics (gases),Statistical physics (gases)
6,31048363.31048364.31048432.31048474.31048477,31048477,"Applied biotechnology (non-medical), bioreactors,","Applied biotechnology (non-medical), bioreactors, applied microbiology"
6,31048363.31048364.31048432.31048474.31048478,31048478,Gas and plasma physics,Gas and plasma physics
5,31048363.31048364.31048432.31048479,31048479,Optics (including laser optics and quantum optics),Optics (including laser optics and quantum optics)
6,31048363.31048364.31048432.31048479.31048437,31048437,Quantum optics and quantum information,Quantum optics and quantum information
6,31048363.31048364.31048432.31048479.31048438,31048438,Metrology and measurement,Metrology and measurement
6,31048363.31048364.31048432.31048479.31048458,31048458,"Nanophysics: nanoelectronics, nanophotonics, nanom","Nanophysics: nanoelectronics, nanophotonics, nanomagnetism, nanoelectromechanics, etc."
6,31048363.31048364.31048432.31048479.31048480,31048480,"Optics, non-linear optics and nano-optics","Optics, non-linear optics and nano-optics"
6,31048363.31048364.31048432.31048479.31048481,31048481,"Lasers, ultra-short lasers and laser physics","Lasers, ultra-short lasers and laser physics"
6,31048363.31048364.31048432.31048479.31048482,31048482,Non-linear physics,Non-linear physics
6,31048363.31048364.31048432.31048479.31048483,31048483,"Optical engineering, photonics, lasers","Optical engineering, photonics, lasers"
7,31048363.31048364.31048432.31048479.31048483.31049295,31049295,Photovoltaics,Photovoltaics
7,31048363.31048364.31048432.31048479.31048483.31053834,31053834,III-V photonics,III-V photonics
7,31048363.31048364.31048432.31048479.31048483.31053835,31053835,Biophotonics and medical applications,Biophotonics and medical applications
7,31048363.31048364.31048432.31048479.31048483.31053836,31053836,Displays,Displays
7,31048363.31048364.31048432.31048479.31048483.31053837,31053837,Electromagnetic theory and simulations,Electromagnetic theory and simulations
7,31048363.31048364.31048432.31048479.31048483.31053838,31053838,Fiber optics and optical communications,Fiber optics and optical communications
7,31048363.31048364.31048432.31048479.31048483.31053839,31053839,Holography,Holography
7,31048363.31048364.31048432.31048479.31048483.31053840,31053840,"Imaging, image and data processing","Imaging, image and data processing"
7,31048363.31048364.31048432.31048479.31048483.31053841,31053841,"Instrumentation, measurement, and metrology","Instrumentation, measurement, and metrology"
7,31048363.31048364.31048432.31048479.31048483.31053842,31053842,Lasers and laser optics,Lasers and laser optics
7,31048363.31048364.31048432.31048479.31048483.31053843,31053843,Laser-based manufacturing and materials processing,Laser-based manufacturing and materials processing
7,31048363.31048364.31048432.31048479.31048483.31053844,31053844,"Lighting, solid-state lighting, LEDs, OLEDs","Lighting, solid-state lighting, LEDs, OLEDs"
7,31048363.31048364.31048432.31048479.31048483.31053845,31053845,Manufacturing technologies for photonic devices,Manufacturing technologies for photonic devices
7,31048363.31048364.31048432.31048479.31048483.31053846,31053846,Microscopy and spectroscopy,Microscopy and spectroscopy
7,31048363.31048364.31048432.31048479.31048483.31053847,31053847,Microoptics,Microoptics
7,31048363.31048364.31048432.31048479.31048483.31053848,31053848,Nanophotonics,Nanophotonics
7,31048363.31048364.31048432.31048479.31048483.31053849,31053849,Near-field optics,Near-field optics
7,31048363.31048364.31048432.31048479.31048483.31053850,31053850,Nonlinear optics,Nonlinear optics
7,31048363.31048364.31048432.31048479.31048483.31053851,31053851,Optical design and fabrication,Optical design and fabrication
7,31048363.31048364.31048432.31048479.31048483.31053852,31053852,Optical sensors,Optical sensors
7,31048363.31048364.31048432.31048479.31048483.31053853,31053853,Photonic devices,Photonic devices
7,31048363.31048364.31048432.31048479.31048483.31053854,31053854,"Photonics in computing, interconnects, data storag","Photonics in computing, interconnects, data storage"
7,31048363.31048364.31048432.31048479.31048483.31053855,31053855,"Photonic integration, photonic integrated circuits","Photonic integration, photonic integrated circuits"
7,31048363.31048364.31048432.31048479.31048483.31053856,31053856,Photonics for safety and security,Photonics for safety and security
7,31048363.31048364.31048432.31048479.31048483.31053857,31053857,Plasmonics and metamaterials,Plasmonics and metamaterials
7,31048363.31048364.31048432.31048479.31048483.31053858,31053858,"Optoelectronics, semiconductor photonics and photo","Optoelectronics, semiconductor photonics and photonic integration"
7,31048363.31048364.31048432.31048479.31048483.31053859,31053859,Silicon photonics,Silicon photonics
7,31048363.31048364.31048432.31048479.31048483.31053860,31053860,Ultrafast photonics,Ultrafast photonics
7,31048363.31048364.31048432.31048479.31048483.31053861,31053861,"Vision, colour and visual optics","Vision, colour and visual optics"
7,31048363.31048364.31048432.31048479.31048483.31053862,31053862,Other areas of photonics,Other areas of photonics
6,31048363.31048364.31048432.31048479.31053863,31053863,Organic and large area electronics,Organic and large area electronics
7,31048363.31048364.31048432.31048479.31053863.31053864,31053864,Flexible electronics and displays,Flexible electronics and displays
7,31048363.31048364.31048432.31048479.31053863.31053865,31053865,"Lighting, OLEDs","Lighting, OLEDs"
7,31048363.31048364.31048432.31048479.31053863.31053866,31053866,Manufacturing technologies for organic electronics,Manufacturing technologies for organic electronics
7,31048363.31048364.31048432.31048479.31053863.31053867,31053867,Materials,Materials
7,31048363.31048364.31048432.31048479.31053863.31053868,31053868,Organic Photovoltaics,Organic Photovoltaics
5,31048363.31048364.31048432.31048484,31048484,Acoustics,Acoustics
6,31048363.31048364.31048432.31048484.31048444,31048444,Mechanical and acoustical properties of condensed,"Mechanical and acoustical properties of condensed matter, Lattice dynamics"
6,31048363.31048364.31048432.31048484.31048484,31048484,Acoustics,Acoustics
5,31048363.31048364.31048432.31048485,31048485,"Astronomy (including astrophysics, space science)","Astronomy (including astrophysics, space science)"
6,31048363.31048364.31048432.31048485.31048468,31048468,Relativity,Relativity
6,31048363.31048364.31048432.31048485.31048473,31048473,Nuclear astrophysics,Nuclear astrophysics
6,31048363.31048364.31048432.31048485.31048486,31048486,Solar and interplanetary physics,Solar and interplanetary physics
7,31048363.31048364.31048432.31048485.31048486.31048487,31048487,Magnetosphere,Magnetosphere
7,31048363.31048364.31048432.31048485.31048486.31048488,31048488,Interplanetary space,Interplanetary space
